"Location","Author Advised (AA) or In House (IH)","N (TV)","N (MS)","Mean (TV)","Mean (MS)","SD (TV)","SD (MS)","Hedges' g","p"
"Brigham Young University - Idaho","AA",28,31,1.89,2.69,2.23,1.99,0.37,0.15
"Ithaca College","IH",39,42,0.12,0.06,1.86,2.67,-0.03,0.9
"Occidental College","AA",6,10,0.5,2.1,1.38,3.42,0.53,0.21
"Pace University","AA",16,16,2,2.21,2.21,2.16,0.09,0.79
"Pace University","IH",35,24,2.28,0.11,5.86,5.33,-0.38,0.15
"Pacific Lutheran University","IH",30,30,0.32,-0.18,1.79,2.14,-0.25,0.33
"The College of New Jersey","AA",21,30,1.98,1.74,2.31,1.66,-0.12,0.69
"University of California, Riverside","AA",3,3,1,2.33,0.88,1.53,0.85,0.28
"University of Florida","IH",38,60,0.87,0.92,1.24,1.18,0.04,0.83
"University of Illinois","IH",45,44,-0.79,0.61,1.78,2,0.73,0
"University of Kansas","IH",40,35,1.32,1.21,3.03,3.04,-0.03,0.88
"University of Pennsylvania","IH",45,41,-0.16,0.2,1.75,2.23,0.17,0.42
"University of Wisconsin","AA",19,21,1.18,1.44,1.65,2.28,0.13,0.67
"University of Wisconsin","IH",36,34,-0.74,-0.9,2.05,1.72,-0.08,0.72
"Virginia Commonwealth University","AA",7,14,1.62,2.19,1.22,1.88,0.32,0.41
"Wesleyan University","IH",53,42,-0.56,-0.22,1.82,1.46,0.2,0.32
"Worcester Polytechnic Institute","IH",71,72,0.59,0.53,1.98,1.61,-0.03,0.85
