"location","source","expert","n_ms","mean_ms","sd_ms","n_tv","mean_tv","sd_tv","d_diff","t","df","p.value","sitesource_label","yi","vi"
"byui","byui",1,40,2.65,2.05750658160146,41,1.77235772357724,2.0594484488035,0.426354998931559,1.91846244887872,78.9542847178987,0.058667167257351,"Brigham Young University - Idaho",0.422289799161888,0.0504910381893291
"cnj","cnj",1,76,1.57456140350877,1.69233451225357,60,1.14444444444444,1.96328510071558,0.234674502099656,1.34723966107415,116.881865724334,0.180509102096249,"The College of New Jersey",0.235439621786726,0.030028354842873
"illinois","illinois",0,44,0.606060606060606,1.99776713506786,45,-0.785185185185185,1.78398537436189,0.734594955731884,3.46266707152835,85.4364121002455,0.000837947365546793,"University of Illinois",0.728713071239841,0.0479327687708197
"ithaca","ithaca",0,42,0.0555555555555555,2.66861378777987,39,0.11965811965812,1.85983584053168,-0.0278700361145117,-0.126140321953562,73.4322025756625,0.899965586903612,"Ithaca College",-0.0274248025671858,0.0494551921653386
"kansas","kansas_inhouse",0,35,1.20952380952381,3.035827152293,40,1.31666666666667,3.02971983510065,-0.0353283234154394,-0.15262555749027,71.6456997651105,0.879122587398913,"University of Kansas",-0.0349663161751226,0.053579579526541
"occid","occid",1,47,0.517730496453901,2.23990867506887,42,0.329365079365079,1.66279554303522,0.0954922941002577,0.453426243621026,84.2719241415987,0.651407273933331,"Occidental College",0.0938886898258615,0.0451356425096946
"pace","pace_expert",1,53,1.17610062893082,2.04709902472487,53,1.33333333333333,1.8935337560947,-0.0797402139316889,-0.410487875001924,103.373952739961,0.682297666848018,"Pace University",-0.0791635466283565,0.0377654097505414
"pace","pace_inhouse",0,24,0.111111111111111,5.32577967499012,35,2.27619047619048,5.86419606751064,-0.386520493253236,-1.47166285828293,52.5634569221417,0.147074112324778,"Pace University",-0.377923480296268,0.0714484863987668
"plu","plu",0,30,-0.177777777777778,2.1401710343321,30,0.322222222222222,1.78646107354883,-0.25364417113952,-0.982359650685944,56.2049797990488,0.330132604896208,"Pacific Lutheran University",-0.250347705221583,0.0671889497792476
"riverside","riverside",1,55,0.73030303030303,1.7184818729403,52,0.794871794871795,1.67664184307544,-0.0380332897942807,-0.196700338361238,104.892718536311,0.844442660519306,"University of California, Riverside",-0.037747579871869,0.0374192457293453
"ufl","ufl",0,60,0.922222222222222,1.17629868394387,38,0.868421052631579,1.23643261349456,0.0445838848095474,0.213853992621857,75.9301075351491,0.831234140307556,"University of Florida",0.0444891896109728,0.0429925545484746
"upenn","upenn",0,41,0.195121951219512,2.23479505617169,45,-0.155555555555556,1.7532077383292,0.174597779703071,0.804260330127837,75.7762060516094,0.423762679236047,"University of Pennsylvania",0.174022569822426,0.0467885350479613
"uwmadison","uwmadison_expert",1,40,0.908333333333333,2.15891116906126,39,0.94017094017094,1.72167434293188,-0.0163054872459047,-0.0725596268372427,74.1096958145051,0.942352029251991,"University of Wisconsin",-0.0161227838188419,0.050642670857216
"uwmadison","uwmadison_inhouse",0,34,-0.901960784313726,1.72236117738166,36,-0.740740740740741,2.05033657494245,-0.0851455774435085,-0.356925069570545,67.1071922785899,0.722267830879325,"University of Wisconsin",-0.0839895542236702,0.0572399299495079
"vcu","vcu",1,62,1.29569892473118,1.97535345453539,42,1.32539682539683,1.14879009108593,-0.0183794761324491,-0.0966800968671848,100.021736670573,0.923173901331278,"Virginia Commonwealth University",-0.0174189542490379,0.0399400148174303
"wesleyan","wesleyan_inhouse",0,42,-0.222222222222222,1.46257127159006,53,-0.559748427672956,1.81608857528262,0.204706271905839,1.00336505667588,92.9679549875438,0.31828918296952,"Wesleyan University",0.200537821975913,0.042889108432788
"wpi","wpi",0,72,0.532407407407407,1.60755232658183,71,0.589201877934272,1.97781966411057,-0.03151361380079,-0.188284905587749,134.594555271734,0.850936901575073,"Worcester Polytechnic Institute",-0.0313683813933442,0.0279768364043985
