"location","sitesource","expert","n_tv","mean_tv","sd_tv","n_ms","mean_ms","sd_ms","d_diff","t","df","p.value","yi","vi"
"ashland","ashland",1,28,5.17857142857143,1.62663565761059,28,5.67857142857143,1.67647028488672,0.302710910578541,1.13264051462326,53.9509003471685,0.262373986611845,0.298483749761548,0.072224040614926
"azusa","azusa",0,15,5.88888888888889,1.42353609945622,15,6.26666666666667,1.36393455133209,0.270992234201218,0.742142797903651,27.948935073291,0.464192544200997,0.263657047585154,0.134491917312355
"cnj","cnj",1,60,5.55555555555556,1.70373099680641,76,5.28508771929825,1.71330648259844,-0.158304833315203,-0.916959947214802,127.089326067745,0.360900415569708,-0.157364220743146,0.0299156036754577
"illinois","illinois",0,45,6.32592592592593,1.41330061584645,44,5.31818181818182,1.5232132252186,-0.685873787811207,-3.23369819109092,86.1820922269551,0.00173288963632974,-0.680233494791145,0.0475490320699206
"ithaca","ithaca",0,88,6.06818181818182,1.64635833348026,90,6.22962962962963,1.83300606166033,0.0926698063695661,0.618517539286507,174.752177390506,0.537039596240706,0.0922182137437719,0.0224986356740342
"kansas","kansas_expert",1,18,5.81481481481481,1.63787772063163,25,5.46666666666667,2.23813745316485,-0.177526093600029,-0.588977681247897,40.9760684032024,0.559109458226158,-0.169923010969824,0.0958912977608701
"kansas","kansas_inhouse",0,40,4.89166666666667,1.98051404878529,35,4.6,2.16900326495805,-0.14043379066178,-0.604917979810047,69.4703701010124,0.547204380129031,-0.139418736467257,0.0537010124652827
"occid","occid",1,42,6.31349206349206,1.59360271770812,47,5.81914893617021,1.79869443636306,-0.290919172565963,-1.37475601595263,86.9953958503554,0.172737775147836,-0.287409529676428,0.0455501883056026
"pace","pace_expert",1,53,5.34591194968553,2.17597827901166,53,5.78616352201258,1.7844225521275,0.221248074342052,1.13894417141568,100.159294161017,0.257443172193891,0.219648046901605,0.0379634210589985
"plu","plu",0,125,4.432,1.4199197311858,122,4.43715846994535,1.49445376062024,0.00353886268035012,0.0277981173668408,243.612345972118,0.977845925799774,0.00352912113931625,0.0161967465234107
"riverside","riverside",1,52,5.96794871794872,1.75176178405659,55,5.70909090909091,1.64561338015109,-0.152312617807533,-0.786769052311256,103.535634195816,0.433214269603914,-0.15135668270545,0.0375196380920248
"sou","sou_inhouse",0,14,6.83333333333333,1.3821202589704,15,6.66666666666667,0.934353184302314,-0.141281696115884,-0.377766844513095,22.6318998267239,0.709123558309015,-0.138271883417065,0.138424877987371
"ufl","ufl",0,108,2.66049382716049,0.942788644834918,145,2.72873563218391,0.918757049940661,0.0733112482964185,0.575689074449501,227.374445878634,0.565394680107586,0.0732314042492271,0.0161664094785915
"upenn","upenn",0,45,5.72592592592593,1.44300627704818,41,5.30894308943089,1.74545480208588,-0.2603885755416,-1.20082614954776,77.8754424563533,0.233458421385502,-0.259218635016657,0.0470031306638467
"uwmadison","uwmadison_expert",1,39,5.29059829059829,1.8858963885071,40,5.31666666666667,1.68443519831484,0.0145795840659308,0.0647418184553523,75.5615548694211,0.948550543278884,0.014447592597454,0.0506423467355311
"uwmadison","uwmadison_inhouse",0,36,4.56481481481481,1.25184167680033,34,4.59803921568627,1.37014686662634,0.0253171452939913,0.105730042147792,66.5463037414538,0.916114609649736,0.0250699327523591,0.0571940317802902
"vcu","vcu",1,42,5.61904761904762,1.54704268728045,62,5.5,1.70047673589674,-0.0732343394689753,-0.369821260933661,93.4865464376141,0.712352123008207,-0.0720315402575729,0.039963500984857
"wesleyan","wesleyan_inhouse",0,97,4.76288659793814,1.41744975324638,78,4.44871794871795,1.34821449246117,-0.227121026784868,-1.49745699785538,168.156945554108,0.13614910888925,-0.225515942350619,0.0232750981431834
"wpi","wpi",0,71,4.10328638497653,1.36345912715239,72,4.41203703703704,1.35370939472603,0.227257648532616,1.35873579099875,140.936290584156,0.176400948288883,0.226052077678008,0.0281520656577947
"byui","byui",1,41,5.15853658536585,1.77793232729303,40,4.65833333333333,1.75977125553149,-0.282780424855977,-1.27249558070448,78.9828431520749,0.206930439116944,-0.280067650589221,0.0498744284018623
"pace","pace_inhouse",0,35,1.27142857142857,4.54391889007185,24,2.97222222222222,4.60089958297557,0.371961595647091,1.40187026783168,49.1744294761148,0.167234856742611,0.367484314203018,0.0713825420278009
